lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Agara Lake,2023-08-16 16:30:00,2023-08-16 21:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 17:30:00,2023-08-16 22:30:00,7.18,29.1,0.6,548.88,116.64,0.77,30.45,1353.0,252.39,24.51,417.99,1.29,
Bellandhur Lake,2023-08-16 17:30:00,2023-08-16 22:30:00,6.98,29.3,10.46,571.46,157.94,0.56,77.2,1201.0,125.86,22.43,883.27,1.2,
Agara Lake,2023-08-16 17:30:00,2023-08-16 22:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 18:30:00,2023-08-16 23:30:00,7.2,28.6,0.9,554.34,119.81,0.77,31.29,1355.0,254.51,23.97,419.07,1.29,
Bellandhur Lake,2023-08-16 18:30:00,2023-08-16 23:30:00,7.0,29.2,9.91,574.48,159.88,0.56,72.77,1203.0,122.54,22.46,903.95,1.2,
Agara Lake,2023-08-16 18:30:00,2023-08-16 23:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 19:30:00,2023-08-17 00:30:00,7.21,28.1,0.88,516.0,113.18,0.78,34.01,1354.0,237.28,24.14,400.04,1.29,
Bellandhur Lake,2023-08-16 19:30:00,2023-08-17 00:30:00,7.01,29.1,9.79,584.65,163.69,0.56,66.72,1195.0,117.97,22.45,940.33,1.2,
Agara Lake,2023-08-16 19:30:00,2023-08-17 00:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16,2023-08-17 01:30:00,7.22,27.8,0.77,518.16,114.71,0.78,32.82,1354.0,237.72,23.11,403.29,1.29,20:30:00
Bellandhur Lake,2023-08-16,2023-08-17 01:30:00,6.98,28.9,11.1,561.03,158.71,0.56,71.15,1191.0,121.33,22.46,879.02,1.2,20:30:00
Agara Lake,2023-08-16,2023-08-17 01:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,20:30:00
Varthur Lake,2023-08-16 21:30:00,2023-08-17 02:30:00,7.22,27.6,0.7,506.61,112.11,0.78,33.42,1356.0,232.71,23.31,396.22,1.29,
Bellandhur Lake,2023-08-16 21:30:00,2023-08-17 02:30:00,7.0,28.5,11.28,625.87,171.91,0.56,75.9,1204.0,124.58,22.49,1053.97,1.2,
Agara Lake,2023-08-16 21:30:00,2023-08-17 02:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 22:30:00,2023-08-17 03:30:00,7.24,27.4,0.66,508.77,114.53,0.78,34.89,1356.0,233.68,23.85,395.13,1.29,
Bellandhur Lake,2023-08-16 22:30:00,2023-08-17 03:30:00,7.02,28.2,11.0,570.41,155.52,0.57,67.54,1226.0,117.44,22.42,907.6,1.2,
Agara Lake,2023-08-16 22:30:00,2023-08-17 03:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 23:30:00,2023-08-17 04:30:00,7.23,27.3,0.71,544.98,122.31,0.78,33.91,1355.0,250.03,23.87,411.76,1.29,
Bellandhur Lake,2023-08-16 23:30:00,2023-08-17 04:30:00,7.03,27.8,10.48,528.43,150.99,0.57,70.37,1207.0,120.25,22.48,783.58,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 04:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 00:30:00,2023-08-17 05:30:00,7.21,27.2,0.71,544.25,119.92,0.78,33.03,1355.0,249.69,23.99,413.49,1.29,
Bellandhur Lake,2023-08-17 00:30:00,2023-08-17 05:30:00,7.04,27.5,10.73,533.93,152.46,0.57,68.01,1207.0,118.53,22.48,805.91,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 05:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 01:30:00,2023-08-17 06:30:00,7.21,27.1,0.66,500.74,109.12,0.78,34.16,1354.0,230.72,24.68,392.28,1.29,
Bellandhur Lake,2023-08-17 01:30:00,2023-08-17 06:30:00,7.0,27.3,12.28,913.85,249.19,0.57,122.07,1214.0,168.39,22.3,1760.29,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 06:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 02:30:00,2023-08-17 07:30:00,7.22,27.0,0.69,475.48,103.56,0.78,34.86,1354.0,218.97,23.44,382.7,1.29,
Bellandhur Lake,2023-08-17 02:30:00,2023-08-17 07:30:00,7.03,27.0,11.8,616.1,176.35,0.58,79.88,1228.0,128.69,22.51,1040.85,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 07:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 03:30:00,2023-08-17 08:30:00,7.22,26.8,0.68,496.62,111.73,0.78,35.37,1354.0,227.37,21.38,395.79,1.29,
Bellandhur Lake,2023-08-17 03:30:00,2023-08-17 08:30:00,6.98,26.8,13.5,-,-,0.58,-,1216.0,-,-,-,1.2,
Agara Lake,2023-08-16 23:30:00,2023-08-17 08:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-17 04:30:00,2023-08-17 09:30:00,7.35,26.5,0.59,493.39,112.36,0.8,34.73,1354.0,226.32,22.9,391.12,1.29,
Bellandhur Lake,2023-08-17 04:30:00,2023-08-17 09:30:00,6.99,26.6,12.35,-,-,0.58,-,1202.0,-,-,-,1.2,
